Total Doors,Classroom Code,Node,Day Number,Start Time,Duration,People Count,Connection Strength,Adjusted People Count
1,326,328,1,900,120,40,1,40
1,326,328,2,1200,120,40,1,40
1,326,328,5,1300,240,40,1,40
1,326,328,2,1800,150,30,1,30
1,326,328,4,1800,150,19,1,19
1,326,328,6,900,180,13,1,13
1,326,328,6,1300,240,7,1,7
4,332,337,1,900,780,20,2,10
4,332,337,2,900,780,20,2,10
4,332,337,3,900,780,20,2,10
4,332,337,4,900,780,20,2,10
4,332,337,5,900,780,20,2,10
4,332,341,1,900,780,20,2,10
4,332,341,2,900,780,20,2,10
4,332,341,3,900,780,20,2,10
4,332,341,4,900,780,20,2,10
4,332,341,5,900,780,20,2,10
2,338,340,1,900,780,3,1,2
2,338,340,2,900,780,3,1,2
2,338,340,3,900,780,3,1,2
2,338,340,4,900,780,3,1,2
2,338,340,5,900,780,3,1,2
2,338,342,1,900,780,3,1,2
2,338,342,2,900,780,3,1,2
2,338,342,3,900,780,3,1,2
2,338,342,4,900,780,3,1,2
2,338,342,5,900,780,3,1,2
3,341,337,1,900,780,3,1,1
3,341,337,2,900,780,3,1,1
3,341,337,3,900,780,3,1,1
3,341,337,4,900,780,3,1,1
3,341,337,5,900,780,3,1,1
3,341,338,1,900,780,3,2,2
3,341,338,2,900,780,3,2,2
3,341,338,3,900,780,3,2,2
3,341,338,4,900,780,3,2,2
3,341,338,5,900,780,3,2,2
2,347,328,4,1200,180,20,2,20
2,347,328,3,1030,90,32,2,32
2,347,328,2,1630,90,56,2,56
2,347,328,4,1500,90,56,2,56
2,347,328,3,1630,60,71,2,71
2,347,328,1,1030,90,39,2,39
2,347,328,3,1330,90,39,2,39
2,347,328,1,1200,90,52,2,52
2,347,328,2,1200,90,52,2,52
2,347,328,5,1200,180,22,2,22
2,347,328,1,1500,90,67,2,67
2,347,328,3,1500,90,67,2,67
2,347,328,2,900,180,82,2,82
2,347,328,5,1900,180,3,2,3
2,347,328,3,1830,180,21,2,21
4,350,325,1,1430,90,54,2,27
4,350,325,4,1300,90,54,2,27
4,350,325,3,1300,90,29,2,15
4,350,325,1,900,90,32,2,16
4,350,325,1,1030,90,41,2,21
4,350,325,2,1300,90,28,2,14
4,350,325,3,1030,90,28,2,14
4,350,325,2,1030,90,32,2,16
4,350,325,3,1300,90,32,2,16
4,350,325,1,1600,90,53,2,27
4,350,325,2,1600,90,53,2,27
4,350,325,2,1430,90,53,2,27
4,350,325,3,1600,90,53,2,27
4,350,325,3,1430,90,58,2,29
4,350,325,5,1430,90,58,2,29
4,350,325,6,930,180,5,2,3
4,350,325,5,1900,180,5,2,3
4,350,325,6,1330,180,9,2,5
4,350,325,4,1000,180,6,2,3
4,350,327,1,1430,90,54,2,27
4,350,327,4,1300,90,54,2,27
4,350,327,3,1300,90,29,2,15
4,350,327,1,900,90,32,2,16
4,350,327,1,1030,90,41,2,21
4,350,327,2,1300,90,28,2,14
4,350,327,3,1030,90,28,2,14
4,350,327,2,1030,90,32,2,16
4,350,327,3,1300,90,32,2,16
4,350,327,1,1600,90,53,2,27
4,350,327,2,1600,90,53,2,27
4,350,327,2,1430,90,53,2,27
4,350,327,3,1600,90,53,2,27
4,350,327,3,1430,90,58,2,29
4,350,327,5,1430,90,58,2,29
4,350,327,6,930,180,5,2,3
4,350,327,5,1900,180,5,2,3
4,350,327,6,1330,180,9,2,5
4,350,327,4,1000,180,6,2,3
2,352,317,1,900,780,30,2,30
2,352,317,2,900,780,30,2,30
2,352,317,3,900,780,30,2,30
2,352,317,4,900,780,30,2,30
2,352,317,5,900,780,30,2,30
1,401,416,1,900,780,3,1,3
1,401,416,2,900,780,3,1,3
1,401,416,3,900,780,3,1,3
1,401,416,4,900,780,3,1,3
1,401,416,5,900,780,3,1,3
1,402,414,1,900,780,3,1,3
1,402,414,2,900,780,3,1,3
1,402,414,3,900,780,3,1,3
1,402,414,4,900,780,3,1,3
1,402,414,5,900,780,3,1,3
1,404,412,2,1600,330,7,1,7
1,404,412,1,1600,270,9,1,9
1,404,412,3,1600,270,9,1,9
1,404,412,2,900,360,12,1,12
1,404,412,5,1500,360,6,1,6
1,404,412,4,1600,360,7,1,7
1,404,412,4,900,300,13,1,13
1,405,411,4,1600,330,7,1,7
1,405,411,3,900,240,8,1,8
1,405,411,5,900,240,8,1,8
1,405,411,1,1600,270,9,1,9
1,405,411,3,1600,270,9,1,9
1,405,411,2,1600,360,9,1,9
1,405,411,5,1500,360,13,1,13
1,406,410,4,1600,330,7,1,7
1,406,410,3,900,240,11,1,11
1,406,410,5,1600,220,11,1,11
1,406,410,5,900,360,8,1,8
1,406,410,3,1300,360,14,1,14
1,406,410,2,1600,360,6,1,6
2,407,409,1,900,780,3,2,3
2,407,409,2,900,780,3,2,3
2,407,409,3,900,780,3,2,3
2,407,409,4,900,780,3,2,3
2,407,409,5,900,780,3,2,3
2,409,407,1,900,780,3,2,3
2,409,407,2,900,780,3,2,3
2,409,407,3,900,780,3,2,3
2,409,407,4,900,780,3,2,3
2,409,407,5,900,780,3,2,3
2,411,405,1,900,780,3,2,3
2,411,405,2,900,780,3,2,3
2,411,405,3,900,780,3,2,3
2,411,405,4,900,780,3,2,3
2,411,405,5,900,780,3,2,3
2,415,405,1,900,780,3,2,3
2,415,405,2,900,780,3,2,3
2,415,405,3,900,780,3,2,3
2,415,405,4,900,780,3,2,3
2,415,405,5,900,780,3,2,3
2,417,407,1,900,780,3,2,3
2,417,407,2,900,780,3,2,3
2,417,407,3,900,780,3,2,3
2,417,407,4,900,780,3,2,3
2,417,407,5,900,780,3,2,3
2,419,409,1,900,780,3,2,3
2,419,409,2,900,780,3,2,3
2,419,409,3,900,780,3,2,3
2,419,409,4,900,780,3,2,3
2,419,409,5,900,780,3,2,3
1,420,410,1,900,780,3,1,3
1,420,410,2,900,780,3,1,3
1,420,410,3,900,780,3,1,3
1,420,410,4,900,780,3,1,3
1,420,410,5,900,780,3,1,3
1,421,411,2,1600,330,8,1,8
1,421,411,4,1600,330,7,1,7
1,421,411,3,900,240,9,1,9
1,421,411,5,1600,220,9,1,9
1,421,411,1,1600,270,4,1,4
1,421,411,4,1600,270,4,1,4
1,421,411,2,900,360,3,1,3
1,421,411,3,1300,330,3,1,3
1,421,411,3,2100,30,3,1,3
1,423,425,1,900,780,10,1,10
1,423,425,2,900,780,10,1,10
1,423,425,3,900,780,10,1,10
1,423,425,4,900,780,10,1,10
1,423,425,5,900,780,10,1,10
1,427,432,1,900,780,7,1,7
1,427,432,2,900,780,7,1,7
1,427,432,3,900,780,7,1,7
1,427,432,4,900,780,7,1,7
1,427,432,5,900,780,7,1,7
1,428,433,1,900,780,3,1,3
1,428,433,2,900,780,3,1,3
1,428,433,3,900,780,3,1,3
1,428,433,4,900,780,3,1,3
1,428,433,5,900,780,3,1,3
1,429,435,1,900,780,3,1,3
1,429,435,2,900,780,3,1,3
1,429,435,3,900,780,3,1,3
1,429,435,4,900,780,3,1,3
1,429,435,5,900,780,3,1,3
1,430,442,1,900,780,1,1,1
1,430,442,2,900,780,1,1,1
1,430,442,3,900,780,1,1,1
1,430,442,4,900,780,1,1,1
1,430,442,5,900,780,1,1,1
1,431,443,1,900,780,1,1,1
1,431,443,2,900,780,1,1,1
1,431,443,3,900,780,1,1,1
1,431,443,4,900,780,1,1,1
1,431,443,5,900,780,1,1,1
1,432,444,1,900,780,1,1,1
1,432,444,2,900,780,1,1,1
1,432,444,3,900,780,1,1,1
1,432,444,4,900,780,1,1,1
1,432,444,5,900,780,1,1,1
1,433,446,1,900,780,1,1,1
1,433,446,2,900,780,1,1,1
1,433,446,3,900,780,1,1,1
1,433,446,4,900,780,1,1,1
1,433,446,5,900,780,1,1,1
1,434,447,1,900,780,1,1,1
1,434,447,2,900,780,1,1,1
1,434,447,3,900,780,1,1,1
1,434,447,4,900,780,1,1,1
1,434,447,5,900,780,1,1,1
1,435,449,1,900,780,1,1,1
1,435,449,2,900,780,1,1,1
1,435,449,3,900,780,1,1,1
1,435,449,4,900,780,1,1,1
1,435,449,5,900,780,1,1,1
1,436,450,1,900,780,1,1,1
1,436,450,2,900,780,1,1,1
1,436,450,3,900,780,1,1,1
1,436,450,4,900,780,1,1,1
1,436,450,5,900,780,1,1,1
1,437,451,1,900,780,1,1,1
1,437,451,2,900,780,1,1,1
1,437,451,3,900,780,1,1,1
1,437,451,4,900,780,1,1,1
1,437,451,5,900,780,1,1,1
2,439,448,1,900,780,3,1,2
2,439,448,2,900,780,3,1,2
2,439,448,3,900,780,3,1,2
2,439,448,4,900,780,3,1,2
2,439,448,5,900,780,3,1,2
2,439,450,1,900,780,3,1,2
2,439,450,2,900,780,3,1,2
2,439,450,3,900,780,3,1,2
2,439,450,4,900,780,3,1,2
2,439,450,5,900,780,3,1,2
2,440,445,1,900,780,3,1,2
2,440,445,2,900,780,3,1,2
2,440,445,3,900,780,3,1,2
2,440,445,4,900,780,3,1,2
2,440,445,5,900,780,3,1,2
2,440,447,1,900,780,3,1,2
2,440,447,2,900,780,3,1,2
2,440,447,3,900,780,3,1,2
2,440,447,4,900,780,3,1,2
2,440,447,5,900,780,3,1,2
1,442,444,1,900,780,3,1,3
1,442,444,2,900,780,3,1,3
1,442,444,3,900,780,3,1,3
1,442,444,4,900,780,3,1,3
1,442,444,5,900,780,3,1,3
1,444,442,1,900,780,3,1,3
1,444,442,2,900,780,3,1,3
1,444,442,3,900,780,3,1,3
1,444,442,4,900,780,3,1,3
1,444,442,5,900,780,3,1,3
1,446,437,1,900,780,3,1,3
1,446,437,2,900,780,3,1,3
1,446,437,3,900,780,3,1,3
1,446,437,4,900,780,3,1,3
1,446,437,5,900,780,3,1,3
1,447,434,4,1500,180,4,1,4
1,447,434,3,1330,180,6,1,6
1,447,434,2,1800,180,6,1,6
1,447,434,2,1330,180,4,1,4
3,450,431,5,1330,180,37,2,25
3,450,431,5,1200,90,38,2,25
3,450,431,3,1630,90,19,2,13
