Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
234,266,2,900,2200,2,1
234,266,3,900,2200,2,1
234,266,4,900,2200,2,1
234,266,5,900,2200,2,1
235,258,1,900,2200,2,1
235,258,2,900,2200,2,1
235,258,3,900,2200,2,1
235,258,4,900,2200,2,1
235,258,5,900,2200,2,1
236,265,1,900,2200,2,1
236,265,2,900,2200,2,1
236,265,3,900,2200,2,1
236,265,4,900,2200,2,1
236,265,5,900,2200,2,1
237,259,1,900,2200,2,1
237,259,2,900,2200,2,1
237,259,3,900,2200,2,1
237,259,4,900,2200,2,1
237,259,5,900,2200,2,1
238,264,1,900,2200,2,1
238,264,2,900,2200,2,1
238,264,3,900,2200,2,1
238,264,4,900,2200,2,1
238,264,5,900,2200,2,1
239,260,1,900,2200,2,1
239,260,2,900,2200,2,1
239,260,3,900,2200,2,1
239,260,4,900,2200,2,1
239,260,5,900,2200,2,1
240,261,1,900,2200,2,1
240,261,2,900,2200,2,1
240,261,3,900,2200,2,1
240,261,4,900,2200,2,1
240,261,5,900,2200,2,1
240,263,1,900,2200,2,1
240,263,2,900,2200,2,1
240,263,3,900,2200,2,1
240,263,4,900,2200,2,1
240,263,5,900,2200,2,1
302,314,1,900,2200,6,1
302,314,2,900,2200,6,1
302,314,3,900,2200,6,1
302,314,4,900,2200,6,1
302,314,5,900,2200,6,1
304,317,1,900,2200,5,2
304,317,2,900,2200,5,2
304,317,3,900,2200,5,2
304,317,4,900,2200,5,2
304,317,5,900,2200,5,2
305,318,5,1600,1940,25,1
305,318,1,1030,1130,41,1
305,318,1,900,1030,45,1
305,318,2,1400,1600,45,1
305,318,5,1400,1600,45,1
305,318,2,1600,1800,45,1
305,318,4,1630,1755,45,1
305,318,3,1730,1935,13,1
305,318,3,930,1300,31,1
305,318,2,1030,1130,48,1
305,318,4,1030,1130,48,1
305,318,1,1330,1500,40,1
305,318,4,1330,1500,40,1
305,318,2,1200,1330,28,1
305,318,4,1200,1330,28,1
305,318,1,1630,1845,36,1
